Year,Day,Month,Hour,Weather_Condition,Wind_Chill(F),Precipitation(in),Temperature(F),Humidity(%),Wind_Speed(mph),Visibility(mi),Selected
2020,17,10,20,Fair,76.0,0.0,76.0,52.0,5.0,10.0,No
2018,09,08,17,Partly Cloudy,,,75.2,50.0,15.0,10.0,No
2020,17,01,01,Mostly Cloudy,40.0,0.0,44.0,85.0,7.0,10.0,No
2020,17,06,18,Fair / Windy,76.0,0.0,76.0,26.0,21.0,10.0,No
2017,06,05,17,Partly Cloudy,,,59.0,58.0,17.3,10.0,No
2017,07,12,18,Scattered Clouds,,,53.1,50.0,3.5,10.0,No
2016,25,08,17,Partly Cloudy,,,66.9,63.0,18.4,10.0,No
2016,08,06,16,Mostly Cloudy,,,66.9,59.0,19.6,10.0,No
2018,11,08,21,Partly Cloudy,,,62.1,80.0,10.4,10.0,No
2020,23,04,16,Fair / Windy,66.0,0.0,66.0,52.0,30.0,10.0,No
2019,04,09,08,Mostly Cloudy,65.0,0.0,65.0,73.0,10.0,10.0,No
2020,15,12,01,Mostly Cloudy,46.0,0.0,46.0,79.0,0.0,10.0,No
2019,11,09,17,Fair / Windy,75.0,0.0,75.0,44.0,22.0,10.0,No
2016,23,11,15,Partly Cloudy,,,60.1,57.0,10.4,10.0,No
2020,28,05,20,Fair,56.0,0.0,56.0,87.0,17.0,10.0,No
2019,24,09,13,Fair,89.0,0.0,89.0,26.0,0.0,10.0,No
2018,06,09,10,Overcast,,,61.0,81.0,8.1,7.0,No
2016,05,11,22,Mostly Cloudy,,,63.0,78.0,3.5,10.0,No
2016,12,10,08,Overcast,,,59.0,81.0,8.1,10.0,No
2020,17,03,07,Partly Cloudy,44.0,0.0,44.0,85.0,3.0,10.0,No
2020,03,12,07,Partly Cloudy,48.0,0.0,48.0,86.0,3.0,10.0,No
2017,19,06,09,Partly Cloudy,,,66.9,70.0,4.6,10.0,No
2020,10,04,08,Fair,58.0,0.0,58.0,72.0,10.0,10.0,No
2017,01,05,06,Clear,,,55.0,89.0,,10.0,No
2018,22,02,12,Mostly Cloudy,,,55.0,57.0,21.9,10.0,No
2018,04,05,07,Overcast,,,52.0,86.0,8.1,7.0,No
2019,21,09,22,Fair,63.0,0.0,63.0,72.0,9.0,10.0,No
2016,10,05,11,Partly Cloudy,,,61.0,87.0,6.9,10.0,No
2019,17,09,00,Partly Cloudy,62.0,0.0,62.0,72.0,10.0,10.0,No
2020,13,11,04,Fair,49.0,0.0,49.0,80.0,3.0,10.0,No
2020,14,02,13,Partly Cloudy,57.0,0.0,57.0,59.0,3.0,10.0,No
2020,24,09,07,Mostly Cloudy,63.0,0.0,63.0,87.0,10.0,6.0,No
2019,24,10,15,Partly Cloudy,85.0,0.0,85.0,16.0,0.0,10.0,No
2017,23,02,17,Partly Cloudy,,,48.9,61.0,15.0,10.0,No
2019,22,10,17,Fair,83.0,0.0,83.0,24.0,13.0,10.0,No
2020,28,12,08,Cloudy,51.0,0.0,51.0,77.0,12.0,9.0,No
2018,17,12,04,Mostly Cloudy,,,51.8,94.0,6.9,10.0,No
2020,01,11,12,Partly Cloudy,67.0,0.0,67.0,63.0,5.0,9.0,No
2020,02,05,15,Mostly Cloudy,67.0,0.0,67.0,61.0,17.0,10.0,No
2019,24,03,17,Mostly Cloudy,,,60.1,60.0,10.4,10.0,No
2020,27,05,19,Fair / Windy,62.0,0.0,62.0,70.0,26.0,10.0,No
2019,01,07,13,Partly Cloudy,68.0,0.0,68.0,56.0,13.0,10.0,No
2017,30,03,13,Partly Cloudy,,,60.1,55.0,21.9,10.0,No
2018,01,01,11,Haze,,,54.0,80.0,3.5,4.0,No
2019,28,05,18,Partly Cloudy,60.0,0.0,60.0,69.0,17.0,10.0,No
2020,27,01,15,Mostly Cloudy,59.0,0.0,59.0,69.0,13.0,9.0,No
2020,11,12,14,Light Rain,53.0,0.0,53.0,66.0,9.0,10.0,No
2019,20,12,15,Mostly Cloudy,56.0,0.0,56.0,75.0,5.0,10.0,No
2017,12,06,07,Scattered Clouds,,,55.9,77.0,20.7,10.0,No
2016,11,04,13,Mostly Cloudy,,,63.0,58.0,5.8,10.0,No
2019,22,02,06,Partly Cloudy,31.1,,36.0,59.0,5.8,10.0,No
2020,29,03,13,Light Rain,59.0,0.03,59.0,78.0,3.0,9.0,No
2017,06,03,15,Mostly Cloudy,,0.0,55.0,72.0,,10.0,No
2019,14,12,20,Mostly Cloudy,53.0,0.0,53.0,71.0,8.0,10.0,No
2020,17,11,02,Mostly Cloudy,54.0,0.0,54.0,72.0,7.0,10.0,No
2020,08,06,07,Fair,56.0,0.0,56.0,75.0,0.0,10.0,No
2018,20,07,19,Partly Cloudy,,,66.9,76.0,13.8,10.0,No
2018,26,04,22,Mostly Cloudy,,,55.0,69.0,10.4,10.0,No
2019,21,08,08,Fair,66.0,0.0,66.0,70.0,5.0,10.0,No
2018,25,08,17,Partly Cloudy,,,63.0,75.0,17.3,10.0,No
2019,08,12,16,Fair,55.0,0.0,55.0,86.0,12.0,10.0,No
2018,24,02,14,Mostly Cloudy,,,53.1,66.0,18.4,10.0,No
2019,09,08,12,Partly Cloudy,75.0,0.0,75.0,50.0,15.0,10.0,No
2018,07,03,14,Partly Cloudy,,,66.9,17.0,13.8,10.0,No
2018,08,02,15,Partly Cloudy,,,70.0,42.0,11.5,10.0,No
2019,10,01,17,Partly Cloudy,,,57.0,74.0,5.8,7.0,No
2020,02,01,12,Mostly Cloudy,55.0,0.0,55.0,77.0,3.0,10.0,No
2018,03,08,09,Partly Cloudy,,,60.1,80.0,3.5,7.0,No
2019,12,10,16,Mostly Cloudy,73.0,0.0,73.0,42.0,9.0,10.0,No
2020,25,02,08,Fair,57.0,0.0,57.0,67.0,0.0,10.0,No
2019,17,11,23,Fair,53.0,0.0,53.0,77.0,0.0,10.0,No
2020,03,09,21,Fair,60.0,0.0,60.0,80.0,15.0,10.0,No
2018,19,09,07,Partly Cloudy,,,52.0,83.0,,10.0,No
2019,13,10,15,Fair,69.0,0.0,69.0,44.0,14.0,10.0,No
2020,25,11,01,Mostly Cloudy,52.0,0.0,52.0,89.0,12.0,10.0,No
2019,10,08,15,Fair,74.0,0.0,74.0,55.0,18.0,10.0,No
2016,18,10,19,Scattered Clouds,,,63.0,65.0,17.3,10.0,No
2019,04,11,09,Fair,60.0,0.0,60.0,72.0,5.0,10.0,No
2017,13,04,06,Overcast,,,55.9,80.0,13.8,10.0,No
2020,22,01,16,Fair,60.0,0.0,60.0,67.0,6.0,10.0,No
2018,22,03,16,Scattered Clouds,,,54.0,59.0,28.8,10.0,No
2020,08,01,07,Partly Cloudy,50.0,0.0,50.0,86.0,5.0,10.0,No
2016,12,05,10,Overcast,,,59.0,72.0,4.6,10.0,No
2016,27,05,11,Partly Cloudy,,,63.0,75.0,4.6,10.0,No
2020,27,08,15,Fair,68.0,0.0,68.0,59.0,17.0,10.0,No
2017,03,02,11,Overcast,,,60.1,75.0,21.9,10.0,No
2019,12,05,04,Cloudy,55.0,0.0,55.0,77.0,7.0,10.0,No
2020,17,12,22,Fair,50.0,0.0,50.0,71.0,9.0,10.0,No
2019,20,09,18,Fair,73.0,0.0,73.0,41.0,18.0,10.0,No
2020,26,02,14,Fair,75.0,0.0,75.0,36.0,8.0,10.0,No
2020,31,12,05,Fair,50.0,0.0,50.0,74.0,7.0,10.0,No
2019,12,03,07,Haze,,,50.0,83.0,15.0,10.0,No
2020,17,02,10,Mostly Cloudy,57.0,0.0,57.0,64.0,0.0,10.0,No
2016,19,04,08,Partly Cloudy,,,64.9,50.0,3.5,10.0,No
2018,09,10,07,Partly Cloudy,,,55.9,87.0,3.5,10.0,No
2017,10,03,19,Partly Cloudy,,,61.0,62.0,13.8,10.0,No
2017,18,08,17,Partly Cloudy,,,66.9,68.0,18.4,10.0,No
2016,03,05,03,Mostly Cloudy,,,55.0,80.0,4.6,10.0,No
2019,25,09,10,Partly Cloudy,78.0,0.0,78.0,48.0,5.0,10.0,No
2019,14,09,17,Partly Cloudy / Windy,66.0,0.0,66.0,68.0,25.0,10.0,No
2019,09,10,14,Fair,72.0,0.0,72.0,34.0,13.0,10.0,No
2016,28,08,02,Overcast,,,63.0,72.0,11.5,10.0,No
2017,14,08,18,Overcast,,,61.0,81.0,15.0,8.0,No
2016,12,12,11,Mostly Cloudy,,,55.9,64.0,3.5,10.0,No
2019,25,10,14,Fair,81.0,0.0,81.0,17.0,8.0,10.0,No
2017,17,04,18,Light Rain,,0.03,59.0,81.0,9.2,10.0,No
2019,27,09,02,Cloudy,66.0,0.0,66.0,78.0,12.0,10.0,No
2019,27,09,18,Mostly Cloudy,61.0,0.0,61.0,67.0,20.0,10.0,No
2018,28,03,08,Partly Cloudy,,,59.0,72.0,,10.0,No
2018,28,02,15,Overcast,,,53.1,74.0,5.8,10.0,No
2020,29,03,21,Mostly Cloudy,57.0,0.0,57.0,72.0,10.0,10.0,No
2020,28,02,18,Mostly Cloudy,57.0,0.0,57.0,77.0,14.0,10.0,No
2020,18,07,07,Cloudy,62.0,0.0,62.0,78.0,5.0,8.0,No
2019,15,11,12,Partly Cloudy,64.0,0.0,64.0,65.0,5.0,10.0,No
2017,02,11,07,Partly Cloudy,,,46.9,100.0,,7.0,No
2020,05,03,23,Cloudy,56.0,0.0,56.0,72.0,6.0,10.0,No
2020,14,04,19,Fair,66.0,0.0,66.0,42.0,8.0,10.0,No
2020,16,05,08,Mostly Cloudy,58.0,0.0,58.0,81.0,12.0,10.0,No
2016,12,12,05,Mostly Cloudy,,,50.0,77.0,6.9,10.0,No
2018,02,05,08,Scattered Clouds,,,55.0,72.0,13.8,10.0,No
2016,23,05,09,Mostly Cloudy,,,60.1,100.0,12.7,10.0,No
2020,17,11,01,Mostly Cloudy / Windy,66.0,0.0,66.0,35.0,25.0,10.0,No
2020,06,11,07,Partly Cloudy / Windy,56.0,0.0,56.0,67.0,22.0,10.0,No
2016,06,10,16,Clear,,,69.1,38.0,20.7,10.0,No
2019,03,02,00,Mostly Cloudy,,0.0,52.0,89.0,16.1,10.0,No
2017,25,09,07,Partly Cloudy,,,55.9,75.0,3.5,10.0,No
2017,05,12,17,Clear,,,54.0,69.0,8.1,10.0,No
2020,15,12,01,Mostly Cloudy,48.0,0.0,48.0,74.0,3.0,10.0,No
2019,11,04,12,Cloudy / Windy,58.0,0.0,58.0,62.0,24.0,8.0,No
2017,30,11,19,Clear,,,55.0,77.0,8.1,10.0,No
2017,25,03,17,Partly Cloudy,,,57.0,69.0,20.7,10.0,No
2017,19,01,23,Light Rain,,0.0,52.0,83.0,20.7,10.0,No
2017,08,02,09,Light Rain,,0.04,62.1,86.0,12.7,3.0,No
2020,03,04,10,Mostly Cloudy,55.0,0.0,55.0,45.0,3.0,10.0,No
2016,15,09,17,Partly Cloudy,,,61.0,72.0,23.0,10.0,No
2020,19,02,01,Fair,43.0,0.0,47.0,86.0,9.0,10.0,No
2020,07,02,21,Fair,50.0,0.0,50.0,86.0,20.0,10.0,No
2019,17,04,08,Fair,56.0,0.0,56.0,72.0,5.0,8.0,No
2018,07,09,05,Partly Cloudy,,,53.1,96.0,9.2,10.0,No
2016,13,06,05,Overcast,,,59.0,75.0,11.5,10.0,No
2019,04,11,21,Shallow Fog,52.0,0.0,52.0,86.0,0.0,10.0,No
2017,16,05,14,Mostly Cloudy,,,61.0,67.0,18.4,10.0,No
2016,22,04,01,Overcast,,,61.0,67.0,10.4,10.0,No
2019,29,10,17,Fair,68.0,0.0,68.0,16.0,9.0,10.0,No
2020,04,04,14,Light Rain / Windy,60.0,0.0,60.0,72.0,21.0,9.0,No
2020,09,11,05,Fair,40.0,0.0,40.0,65.0,0.0,9.0,No
2017,20,09,16,Mostly Cloudy,,,66.9,79.0,15.0,10.0,No
2018,20,11,08,Haze,,,53.6,58.0,,2.5,No
2019,31,01,19,Clear,,,55.9,80.0,5.8,10.0,No
2017,11,11,21,Scattered Clouds,,,55.9,80.0,6.9,10.0,No
2020,12,03,16,Partly Cloudy,67.0,0.0,67.0,39.0,18.0,10.0,No
2019,29,03,07,Partly Cloudy,,,50.0,80.0,3.5,10.0,No
2020,18,12,23,Fair,47.0,0.0,49.0,74.0,6.0,10.0,No
2019,14,05,16,Cloudy,63.0,0.0,63.0,63.0,13.0,10.0,No
2016,11,06,16,Scattered Clouds,,,79.0,39.0,15.0,10.0,No
2020,24,03,18,Mostly Cloudy,56.0,0.0,56.0,72.0,12.0,10.0,No
2018,15,06,08,Partly Cloudy,,,62.1,62.0,9.2,10.0,No
2017,08,09,18,Mostly Cloudy,,,63.0,93.0,10.4,10.0,No
2017,27,09,07,Clear,,,64.0,60.0,,10.0,No
2018,22,08,05,Overcast,,,62.1,80.0,10.4,7.0,No
2020,14,12,18,Partly Cloudy,51.0,0.0,51.0,77.0,9.0,10.0,No
2020,02,11,09,Fair,61.0,0.0,61.0,78.0,0.0,9.0,No
2020,02,05,17,Mostly Cloudy,65.0,0.0,65.0,65.0,14.0,10.0,No
2018,25,07,14,Partly Cloudy,,,71.1,59.0,16.1,10.0,No
2016,13,09,21,Clear,,,64.0,73.0,5.8,10.0,No
2016,30,03,10,Mostly Cloudy,,,55.9,67.0,4.6,10.0,No
2019,11,12,18,Cloudy,60.0,0.0,60.0,80.0,7.0,10.0,No
2020,10,11,12,Partly Cloudy,60.0,0.0,60.0,32.0,5.0,10.0,No
2016,15,09,18,Partly Cloudy,,,62.1,80.0,12.7,10.0,No
2017,16,01,06,Partly Cloudy,41.0,,46.0,73.0,10.4,10.0,No
2016,10,08,11,Partly Cloudy,,,70.0,61.0,11.5,10.0,No
2018,18,05,07,Overcast,,0.0,55.9,80.0,9.2,8.0,No
2019,16,09,14,Mostly Cloudy,70.0,0.0,70.0,57.0,12.0,10.0,No
2018,01,04,18,Partly Cloudy,,,60.1,55.0,11.5,10.0,No
2018,12,10,22,Clear,,,63.0,46.0,8.1,10.0,No
2020,07,02,08,Fog,46.0,0.0,46.0,100.0,0.0,0.0,No
2020,24,01,13,Cloudy,59.0,0.0,59.0,75.0,6.0,10.0,No
2016,05,08,12,Overcast,,,63.0,75.0,12.7,10.0,No
2017,22,08,21,Partly Cloudy,,,61.0,81.0,16.1,10.0,No
2018,07,03,18,Mostly Cloudy,,,62.1,20.0,5.8,10.0,No
2019,27,09,07,Cloudy,64.0,0.0,64.0,84.0,12.0,5.0,No
2016,10,06,17,Mostly Cloudy,,,64.0,56.0,17.3,10.0,No
2020,20,05,09,Cloudy,58.0,0.0,58.0,70.0,6.0,10.0,No
2019,03,10,05,Fair,50.0,0.0,50.0,83.0,3.0,10.0,No
2018,08,02,22,Clear,,,59.0,53.0,5.8,10.0,No
2020,06,02,23,Shallow Fog,51.0,0.0,51.0,89.0,5.0,10.0,No
2018,17,12,07,Overcast,,,52.0,93.0,5.8,1.0,No
2019,30,05,07,Cloudy,54.0,0.0,54.0,83.0,10.0,9.0,No
2020,04,01,19,Partly Cloudy,53.0,0.0,53.0,77.0,9.0,10.0,No
2019,09,10,20,Fair,61.0,0.0,61.0,58.0,6.0,10.0,No
2017,13,06,15,Clear,,,71.1,51.0,15.0,10.0,No
2017,10,02,15,Mostly Cloudy,,,61.0,60.0,13.8,10.0,No
2019,07,04,11,Partly Cloudy,65.0,0.0,65.0,70.0,8.0,10.0,No
2016,22,11,08,Mostly Cloudy,,,55.9,72.0,,10.0,No
2020,25,01,13,Fog,55.0,0.0,55.0,93.0,7.0,2.0,No
2019,19,03,09,Haze,,,57.9,81.0,5.8,5.0,No
2020,26,11,11,Fair,67.0,0.0,67.0,20.0,16.0,10.0,No
2019,30,12,14,Fair,56.0,0.0,56.0,67.0,6.0,10.0,No
2020,05,07,06,Fair,59.0,0.0,59.0,78.0,5.0,10.0,No
2019,11,09,09,Fair,64.0,0.0,64.0,72.0,0.0,10.0,No
2017,21,09,07,Partly Cloudy,,,57.0,69.0,12.7,10.0,No
2020,15,08,15,Partly Cloudy,94.0,0.0,94.0,21.0,13.0,10.0,No
2020,24,02,09,Fair,55.0,0.0,55.0,77.0,7.0,10.0,No
2019,07,12,15,Cloudy,62.0,0.02,62.0,80.0,20.0,10.0,No
2017,01,09,12,Haze,,,93.0,19.0,8.1,5.0,No
2020,13,02,15,Fair,56.0,0.0,56.0,67.0,7.0,10.0,No
2017,12,12,09,Partly Cloudy,,,54.0,75.0,3.5,10.0,No
2017,23,03,18,Mostly Cloudy,,,55.0,64.0,8.1,10.0,No
2017,26,02,18,Mostly Cloudy,,,52.0,74.0,6.9,10.0,No
2018,11,05,00,Partly Cloudy,,,53.1,77.0,11.5,10.0,No
2016,12,04,07,Overcast,,,55.0,74.0,23.0,9.0,No
2020,16,02,00,Mostly Cloudy,49.0,0.0,49.0,83.0,3.0,10.0,No
2020,04,04,20,Mostly Cloudy,53.0,0.0,53.0,83.0,9.0,9.0,No
2018,09,10,07,Partly Cloudy,,,55.9,90.0,5.8,10.0,No
2017,14,08,15,Overcast,,,63.0,70.0,16.1,10.0,No
2017,29,11,04,Clear,43.5,,45.0,93.0,3.5,10.0,No
2019,02,04,16,Mostly Cloudy,59.0,0.0,59.0,69.0,13.0,10.0,No
2019,27,08,09,Fair,66.0,0.0,66.0,70.0,3.0,10.0,No
2020,11,01,04,Cloudy,50.0,0.01,50.0,89.0,3.0,7.0,No
2016,18,12,21,Clear,,,45.0,58.0,,10.0,No
2016,27,09,12,Clear,,,75.9,52.0,5.8,10.0,No
2019,01,07,12,Partly Cloudy,67.0,0.0,67.0,61.0,12.0,10.0,No
2016,05,07,07,Overcast,,,60.1,72.0,5.8,10.0,No
2020,07,11,20,Mostly Cloudy,57.0,0.0,57.0,62.0,16.0,10.0,No
2016,23,05,07,Mostly Cloudy,,,55.9,69.0,12.7,10.0,No
2020,23,01,10,Mostly Cloudy,53.0,0.0,53.0,80.0,3.0,9.0,No
2019,28,06,15,Mostly Cloudy,68.0,0.0,68.0,52.0,17.0,10.0,No
2016,27,05,12,Partly Cloudy,,,68.0,52.0,10.4,10.0,No
2020,28,06,22,Fair,57.0,0.0,57.0,77.0,5.0,10.0,No
2018,04,07,13,Partly Cloudy,,,69.1,57.0,17.3,10.0,No
2019,17,12,18,Partly Cloudy,54.0,0.0,54.0,64.0,13.0,10.0,No
2020,20,06,09,Partly Cloudy,62.0,0.0,62.0,72.0,6.0,10.0,No
2018,06,12,17,Clear,,,55.0,57.0,5.8,10.0,No
2018,20,09,08,Partly Cloudy,,,59.0,75.0,,10.0,No
2016,07,06,17,Mostly Cloudy,,,66.9,63.0,16.1,10.0,No
2016,08,11,09,Mostly Cloudy,,,64.9,78.0,3.5,10.0,No
2020,17,08,10,Mostly Cloudy / Windy,67.0,0.0,67.0,70.0,22.0,10.0,No
2020,06,12,02,Partly Cloudy,43.0,0.0,47.0,86.0,8.0,10.0,No
2017,30,11,23,Clear,,,52.0,89.0,6.9,10.0,No
2019,21,12,17,Cloudy,58.0,0.0,58.0,51.0,3.0,10.0,No
2017,29,09,18,Mostly Cloudy,,,61.0,90.0,13.8,10.0,No
2020,09,04,19,Mostly Cloudy,59.0,0.0,59.0,72.0,9.0,10.0,No
2017,30,01,20,Partly Cloudy,,,53.1,69.0,,10.0,No
2019,13,12,21,Cloudy,59.0,0.0,59.0,81.0,7.0,10.0,No
2017,10,07,00,Partly Cloudy,,,57.0,83.0,5.8,9.0,No
2020,06,11,11,Mostly Cloudy,61.0,0.0,61.0,52.0,20.0,10.0,No
2019,27,09,15,Partly Cloudy,67.0,0.0,67.0,70.0,18.0,10.0,No
2019,09,11,17,Fair / Windy,52.0,0.0,52.0,89.0,21.0,10.0,No
2020,30,05,14,Mostly Cloudy,67.0,0.0,67.0,68.0,17.0,10.0,No
2017,12,06,21,Partly Cloudy,,,59.0,78.0,,10.0,No
2020,16,04,01,Cloudy,57.0,0.0,57.0,81.0,12.0,10.0,No
2017,05,06,07,Scattered Clouds,,,55.9,80.0,5.8,7.0,No
2017,14,06,16,Partly Cloudy,,,70.0,53.0,15.0,10.0,No
2018,24,07,18,Partly Cloudy,,,63.0,75.0,18.4,10.0,No
2016,08,06,03,Overcast,,,59.0,81.0,12.7,10.0,No
2016,01,06,15,Mostly Cloudy,,,73.0,53.0,6.9,10.0,No
2020,26,12,21,Fair,52.0,0.0,52.0,80.0,7.0,10.0,No
2020,16,05,14,Mostly Cloudy,72.0,0.0,72.0,44.0,17.0,10.0,No
2016,23,12,02,Overcast,,,50.0,77.0,3.5,10.0,No
2019,24,02,00,Clear,,,48.9,77.0,3.5,10.0,No
2017,01,02,18,Mostly Cloudy,,,55.0,74.0,5.8,10.0,No
2017,10,05,15,Mostly Cloudy,,,66.0,52.0,17.3,10.0,No
2020,12,02,18,Partly Cloudy,58.0,0.0,58.0,67.0,8.0,10.0,No
2017,10,02,15,Mostly Cloudy,,,60.1,67.0,11.5,10.0,No
2020,23,12,18,Mostly Cloudy,55.0,0.0,55.0,53.0,14.0,10.0,No
2017,21,05,22,Partly Cloudy,,,53.1,86.0,15.0,10.0,No
2019,10,09,18,Fair,68.0,0.0,68.0,68.0,14.0,10.0,No
2019,06,11,16,Partly Cloudy,56.0,0.0,56.0,77.0,10.0,10.0,No
2020,04,01,06,Mostly Cloudy,52.0,0.0,52.0,86.0,13.0,9.0,No
2018,20,07,02,Partly Cloudy,,,57.0,93.0,6.9,10.0,No
2016,25,03,15,Scattered Clouds,,,64.0,58.0,23.0,10.0,No
2018,03,01,21,Rain,,0.14,53.1,100.0,3.5,2.5,No
2019,14,11,13,Cloudy,59.0,0.0,59.0,81.0,6.0,8.0,No
2020,14,01,09,Fair,54.0,0.0,54.0,62.0,6.0,10.0,No
2016,26,10,09,Partly Cloudy,,,62.1,72.0,8.1,10.0,No
2020,31,12,03,Fair,51.0,0.0,51.0,80.0,12.0,8.0,No
2019,23,05,08,Cloudy,59.0,0.0,59.0,78.0,10.0,10.0,No
2017,10,03,17,Partly Cloudy,,,63.0,63.0,13.8,10.0,No
2019,03,02,14,Scattered Clouds,,0.0,55.0,64.0,21.9,10.0,No
2018,19,04,14,Partly Cloudy,,,62.1,58.0,26.5,10.0,No
2017,23,05,15,Partly Cloudy,,,64.9,61.0,23.0,10.0,No
2016,10,10,13,Scattered Clouds,,,66.0,60.0,17.3,10.0,No
2017,13,06,02,Partly Cloudy,,,54.0,83.0,5.8,10.0,No
2020,24,01,15,Mostly Cloudy,59.0,0.0,59.0,78.0,15.0,10.0,No
2017,02,04,19,Scattered Clouds,,,62.1,70.0,10.4,10.0,No
2017,13,01,19,Clear,,,50.0,77.0,13.8,10.0,No
2017,13,08,02,,,,,,,,No
2020,17,01,14,Mostly Cloudy,54.0,0.0,54.0,55.0,3.0,10.0,No
2018,05,07,06,Overcast,,,55.0,89.0,4.6,5.0,No
2020,28,10,07,Fair,47.0,0.0,49.0,59.0,5.0,10.0,No
2020,31,07,17,Fair,70.0,0.0,70.0,59.0,18.0,10.0,No
2020,29,12,12,Fair,55.0,0.0,55.0,72.0,7.0,10.0,No
2017,08,02,15,Overcast,,,63.0,84.0,13.8,9.0,No
2016,03,10,14,Overcast,,,64.0,60.0,10.4,10.0,No
2016,20,04,18,Mostly Cloudy,,,66.0,56.0,8.1,10.0,No
2020,21,05,08,Partly Cloudy,60.0,0.0,60.0,78.0,5.0,10.0,No
2017,15,03,07,Scattered Clouds,,,53.1,89.0,11.5,10.0,No
2017,03,05,09,Partly Cloudy,,,64.9,73.0,4.6,10.0,No
2017,28,02,09,Clear,,,48.9,61.0,8.1,10.0,No
2020,29,11,03,Fair,42.0,0.0,42.0,85.0,3.0,10.0,No
2020,16,02,06,Mostly Cloudy,52.0,0.0,52.0,80.0,12.0,9.0,No
2019,26,10,01,Fair,61.0,0.0,61.0,44.0,0.0,10.0,No
2018,11,06,02,Clear,,,55.9,69.0,16.1,10.0,No
2020,26,03,17,Partly Cloudy / Windy,59.0,0.0,59.0,48.0,22.0,10.0,No
2016,25,07,19,Partly Cloudy,,,69.1,65.0,10.4,10.0,No
2016,18,11,19,Partly Cloudy,,,60.1,41.0,10.4,10.0,No
2019,28,03,08,Mostly Cloudy,,,55.9,72.0,11.5,9.0,No
2020,07,04,15,Fair,64.0,0.0,64.0,45.0,12.0,10.0,No
2017,03,10,16,Partly Cloudy,,,71.1,24.0,18.4,10.0,No
2018,24,02,02,Clear,,,43.0,68.0,,10.0,No
2020,15,01,08,Mostly Cloudy,45.0,0.0,45.0,82.0,0.0,10.0,No
2017,29,09,17,Mostly Cloudy,,,63.0,78.0,17.3,10.0,No
2019,11,10,23,Fair,54.0,0.0,54.0,69.0,0.0,10.0,No
2020,31,01,17,Mostly Cloudy,67.0,0.0,67.0,59.0,5.0,10.0,No
2019,04,12,16,Cloudy,56.0,0.0,56.0,84.0,6.0,10.0,No
2019,03,02,03,Overcast,,,52.0,86.0,5.8,9.0,No
2020,30,12,20,Cloudy,53.0,0.0,53.0,77.0,5.0,6.0,No
2018,19,01,08,Partly Cloudy,,,48.9,97.0,3.5,10.0,No
2019,10,02,01,Rain,40.6,0.02,46.0,83.0,11.5,8.0,No
2016,12,08,08,Overcast,,,60.1,86.0,,8.0,No
2017,28,07,23,Mostly Cloudy,,,57.0,93.0,3.5,9.0,No
2016,11,11,04,Clear,,,57.9,87.0,,10.0,No
2019,02,06,16,Fair,65.0,0.0,65.0,68.0,16.0,10.0,No
2020,17,05,13,Fair,72.0,0.0,72.0,53.0,6.0,10.0,No
2020,14,11,16,Fair,56.0,0.0,56.0,60.0,13.0,10.0,No
2017,15,02,11,Overcast,,,62.1,67.0,3.5,10.0,No
2020,03,02,03,Fair,43.0,0.0,43.0,62.0,3.0,10.0,No
2020,27,02,05,Fair,50.0,0.0,50.0,71.0,0.0,10.0,No
2019,13,12,06,Fog,56.0,0.0,56.0,93.0,0.0,0.25,No
2018,27,04,18,Scattered Clouds,,,62.1,62.0,15.0,10.0,No
2019,29,12,02,Cloudy,50.0,0.0,50.0,89.0,5.0,6.0,No
2017,04,01,21,Overcast,,0.0,48.9,100.0,3.5,10.0,No
2020,04,04,16,Light Rain,58.0,0.01,58.0,84.0,16.0,2.0,No
2019,18,03,06,Clear,,,50.0,86.0,3.5,10.0,No
2018,31,01,11,Scattered Clouds,,,55.9,84.0,3.5,10.0,No
2017,19,01,09,Scattered Clouds,,0.0,53.6,82.0,10.4,10.0,No
2018,08,02,19,Clear,,,59.0,78.0,,10.0,No
2018,14,02,22,Partly Cloudy,,,50.0,77.0,10.4,10.0,No
2017,17,01,19,Mostly Cloudy,,,48.9,80.0,4.6,8.0,No
2019,11,12,18,Cloudy,58.0,0.0,58.0,87.0,5.0,10.0,No
2019,06,12,17,Cloudy,62.0,0.0,62.0,65.0,20.0,10.0,No
2020,30,04,05,Cloudy,54.0,0.0,54.0,90.0,17.0,9.0,No
2018,05,01,19,Light Rain,,0.0,54.0,90.0,3.5,7.0,No
2017,29,08,08,Overcast,,,60.1,83.0,9.2,9.0,No
2020,17,12,10,Partly Cloudy / Windy,57.0,0.0,57.0,67.0,23.0,10.0,No
2019,20,08,15,Fair / Windy,71.0,0.0,71.0,57.0,22.0,10.0,No
2018,01,03,23,Overcast,,0.03,48.9,90.0,16.1,9.0,No
2020,01,10,05,Mostly Cloudy,64.0,0.0,64.0,65.0,0.0,9.0,No
2017,27,04,19,Scattered Clouds,,,63.0,56.0,15.0,10.0,No
2017,23,02,14,Scattered Clouds,,,53.1,47.0,17.3,10.0,No
2017,06,01,18,Mostly Cloudy,,,46.9,63.0,9.2,10.0,No
2017,23,06,12,Partly Cloudy,,,70.0,63.0,15.0,10.0,No
2020,09,12,18,Partly Cloudy,59.0,0.0,59.0,53.0,5.0,10.0,No
2018,01,08,01,Partly Cloudy,,,54.0,90.0,5.8,10.0,No
