Embarked,Pclass,Fare,Sex,Age,Survived
2,2,26.0,1,44.0,0
2,3,9.35,1,18.0,1
2,1,164.8667,1,45.0,1
2,1,26.55,0,51.0,1
0,3,19.2583,1,24.0,1
0,3,7.2292,0,28.0,0
2,3,14.1083,0,41.0,0
2,2,11.5,0,21.0,0
2,1,25.9292,1,48.0,1
2,3,69.55,1,10.0,0
2,2,13.0,0,24.0,0
2,2,13.0,1,42.0,1
0,2,13.8583,1,27.0,1
2,1,50.4958,0,31.0,0
2,3,9.5,0,18.0,0
2,3,11.1333,0,4.0,1
2,3,7.8958,0,26.0,0
2,1,52.5542,1,47.0,1
2,1,5.0,0,33.0,0
2,3,9.0,0,47.0,0
0,2,24.0,1,28.0,1
0,3,7.225,1,15.0,1
2,3,9.8458,0,20.0,0
2,3,7.8958,0,19.0,0
2,3,7.8958,0,36.0,0
0,1,83.1583,1,56.0,1
2,2,26.0,1,25.0,1
2,3,7.8958,0,33.0,0
2,3,10.5167,1,22.0,0
2,2,10.5,0,28.0,0
2,3,7.05,0,25.0,0
1,3,29.125,1,39.0,0
2,2,13.0,0,27.0,0
2,1,30.0,1,19.0,1
2,3,23.45,1,18.0,0
0,1,30.0,0,26.0,1
1,3,7.75,0,32.0,0
